A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
1.0,16.0,119.0,2.0,,4.0,4.0,0.0,0.0,,0.0,2.0,18.0,,0
,121.0,50.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,111.0,,0
0.0,72.0,,2.0,11.0,,,0.0,,1.0,,,53.0,,0
1.0,287.0,175.0,2.0,7.0,4.0,128.0,1.0,0.0,1.0,0.0,,35.0,,1
,136.0,38.0,,4.0,4.0,14.0,1.0,0.0,1.0,0.0,1.0,98.0,,0
1.0,65.0,164.0,2.0,13.0,4.0,,1.0,,1.0,0.0,,,,1
1.0,302.0,56.0,,1.0,1.0,37.0,,0.0,1.0,0.0,2.0,38.0,2.0,0
,303.0,,2.0,3.0,5.0,,0.0,0.0,1.0,1.0,2.0,21.0,,0
1.0,91.0,180.0,2.0,,4.0,,1.0,,,1.0,2.0,92.0,1.0,0
1.0,,46.0,1.0,6.0,4.0,15.0,0.0,,,1.0,,38.0,42.0,0
1.0,55.0,46.0,2.0,,4.0,37.0,,0.0,1.0,0.0,2.0,,9.0,1
0.0,,,2.0,6.0,,18.0,0.0,0.0,,0.0,2.0,86.0,84.0,0
0.0,,,2.0,8.0,,,1.0,1.0,6.0,1.0,2.0,102.0,172.0,1
0.0,334.0,200.0,2.0,,4.0,,1.0,,1.0,1.0,,4.0,,1
1.0,310.0,,2.0,10.0,4.0,112.0,,,6.0,0.0,2.0,1.0,,1
1.0,39.0,20.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,114.0,137.0,0
0.0,227.0,,,,,1.0,,0.0,1.0,0.0,2.0,23.0,1.0,0
0.0,202.0,175.0,2.0,11.0,8.0,,1.0,1.0,,0.0,2.0,1.0,221.0,1
1.0,159.0,,1.0,9.0,4.0,2.0,0.0,,,0.0,,53.0,1.0,0
,,37.0,,14.0,8.0,,1.0,,,,,1.0,216.0,1
,,185.0,2.0,2.0,8.0,14.0,,0.0,1.0,,,81.0,1.0,0
1.0,178.0,66.0,2.0,6.0,4.0,43.0,0.0,,,,2.0,,1.0,0
,231.0,51.0,,14.0,4.0,4.0,1.0,,,,,149.0,1.0,1
1.0,57.0,26.0,1.0,,7.0,20.0,,0.0,1.0,1.0,2.0,43.0,3.0,0
,,199.0,2.0,2.0,4.0,65.0,,1.0,10.0,,2.0,87.0,133.0,1
0.0,152.0,,2.0,,8.0,,0.0,1.0,4.0,0.0,2.0,1.0,29.0,0
,328.0,,2.0,3.0,5.0,115.0,1.0,1.0,14.0,,2.0,,222.0,1
1.0,229.0,,2.0,13.0,,73.0,1.0,1.0,,1.0,2.0,1.0,1.0,1
,96.0,51.0,2.0,,4.0,41.0,1.0,,2.0,1.0,2.0,128.0,21.0,1
,,58.0,1.0,9.0,4.0,3.0,1.0,1.0,2.0,,,15.0,157.0,1
,163.0,167.0,2.0,,1.0,,0.0,0.0,1.0,0.0,2.0,,,0
1.0,,20.0,1.0,1.0,,1.0,,0.0,,0.0,2.0,32.0,1.0,0
0.0,230.0,87.0,2.0,8.0,4.0,,,,1.0,0.0,,149.0,1.0,0
1.0,,48.0,1.0,9.0,4.0,,1.0,1.0,,0.0,,24.0,,1
1.0,139.0,195.0,2.0,,4.0,,1.0,1.0,6.0,,2.0,,1.0,1
,,70.0,,3.0,,1.0,0.0,,1.0,0.0,2.0,63.0,1.0,0
,149.0,,2.0,,4.0,68.0,1.0,1.0,9.0,,2.0,109.0,,1
0.0,,,1.0,6.0,4.0,7.0,,0.0,,1.0,2.0,120.0,1.0,1
,9.0,,1.0,,4.0,7.0,0.0,0.0,1.0,0.0,2.0,,1.0,0
0.0,72.0,26.0,,8.0,4.0,,0.0,1.0,3.0,,,,,0
,289.0,119.0,2.0,11.0,,96.0,1.0,0.0,,1.0,2.0,114.0,,1
1.0,49.0,,,,4.0,,0.0,0.0,,1.0,1.0,,,0
1.0,201.0,77.0,2.0,14.0,,74.0,1.0,0.0,,1.0,2.0,163.0,,0
,,46.0,,11.0,4.0,55.0,1.0,,4.0,1.0,2.0,1.0,,1
1.0,160.0,71.0,2.0,1.0,1.0,1.0,0.0,1.0,,,2.0,,,0
1.0,204.0,64.0,,,,4.0,,1.0,3.0,0.0,2.0,,2.0,0
1.0,,104.0,,5.0,4.0,,,,1.0,,2.0,45.0,74.0,0
1.0,102.0,12.0,2.0,,8.0,73.0,0.0,0.0,1.0,1.0,2.0,111.0,1.0,0
1.0,26.0,39.0,1.0,10.0,,1.0,,,1.0,0.0,2.0,32.0,1.0,0
,317.0,180.0,2.0,4.0,8.0,,1.0,0.0,,1.0,2.0,,,1
1.0,81.0,20.0,,8.0,8.0,3.0,1.0,,1.0,0.0,2.0,63.0,,0
1.0,70.0,,1.0,4.0,4.0,4.0,0.0,,1.0,0.0,2.0,,44.0,0
,,17.0,2.0,8.0,,36.0,,1.0,,,2.0,106.0,,1
,61.0,,2.0,,4.0,,,0.0,1.0,1.0,2.0,,1.0,0
0.0,,,2.0,6.0,4.0,,,0.0,1.0,1.0,2.0,,56.0,0
,172.0,192.0,,1.0,,1.0,,,,0.0,2.0,53.0,2.0,0
,170.0,87.0,1.0,13.0,4.0,37.0,0.0,0.0,1.0,1.0,2.0,38.0,1.0,0
0.0,168.0,76.0,2.0,1.0,1.0,66.0,0.0,1.0,3.0,1.0,2.0,69.0,5.0,0
0.0,,,2.0,11.0,,2.0,0.0,0.0,1.0,1.0,2.0,,1.0,0
1.0,,,,,5.0,105.0,1.0,1.0,16.0,1.0,2.0,1.0,213.0,1
1.0,109.0,,,,,,1.0,0.0,,,2.0,1.0,1.0,1
,329.0,,2.0,,4.0,56.0,0.0,0.0,1.0,1.0,2.0,107.0,1.0,0
,234.0,51.0,1.0,7.0,4.0,,0.0,,1.0,,,131.0,1.0,0
,140.0,40.0,,,8.0,7.0,,,3.0,1.0,2.0,,52.0,0
1.0,,73.0,2.0,,4.0,,0.0,,2.0,0.0,2.0,1.0,,0
1.0,78.0,1.0,,,4.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1
1.0,168.0,94.0,2.0,13.0,,,1.0,1.0,4.0,0.0,2.0,105.0,94.0,1
0.0,182.0,,1.0,8.0,4.0,58.0,0.0,0.0,1.0,,2.0,1.0,3.0,0
1.0,,74.0,1.0,8.0,8.0,,,1.0,,,2.0,,235.0,1
1.0,98.0,33.0,2.0,,4.0,,0.0,0.0,1.0,0.0,2.0,,1.0,0
0.0,124.0,46.0,2.0,7.0,4.0,47.0,,,1.0,0.0,,118.0,1.0,0
1.0,217.0,56.0,,9.0,,2.0,1.0,0.0,1.0,1.0,2.0,131.0,,1
1.0,292.0,62.0,2.0,1.0,1.0,8.0,,0.0,1.0,0.0,,,,0
1.0,142.0,95.0,,9.0,,,1.0,1.0,3.0,1.0,2.0,,,1
1.0,,107.0,,11.0,,10.0,1.0,1.0,2.0,,2.0,,,0
0.0,,64.0,1.0,8.0,,1.0,,,1.0,0.0,2.0,38.0,1.0,0
1.0,,56.0,,6.0,,,1.0,1.0,,,2.0,120.0,120.0,1
1.0,130.0,105.0,2.0,14.0,4.0,84.0,1.0,1.0,3.0,0.0,2.0,,,1
,336.0,183.0,1.0,,8.0,85.0,1.0,0.0,1.0,0.0,2.0,36.0,1.0,0
1.0,228.0,52.0,2.0,4.0,,14.0,0.0,,1.0,1.0,2.0,102.0,3.0,0
1.0,77.0,,2.0,8.0,4.0,28.0,1.0,1.0,,,2.0,18.0,186.0,1
0.0,273.0,,2.0,5.0,,1.0,1.0,0.0,1.0,0.0,2.0,32.0,,1
0.0,4.0,20.0,2.0,,8.0,37.0,1.0,1.0,,0.0,,32.0,1.0,1
1.0,71.0,152.0,2.0,,,2.0,,1.0,10.0,0.0,2.0,,,1
1.0,103.0,180.0,2.0,13.0,,30.0,1.0,1.0,23.0,1.0,2.0,45.0,,1
1.0,73.0,164.0,2.0,,4.0,58.0,1.0,1.0,,1.0,,32.0,140.0,1
0.0,,196.0,2.0,10.0,9.0,1.0,1.0,,15.0,0.0,2.0,1.0,,1
1.0,268.0,,,8.0,,,,0.0,1.0,0.0,2.0,53.0,3.0,0
1.0,,,2.0,9.0,4.0,29.0,1.0,0.0,1.0,,2.0,69.0,1.0,0
0.0,,125.0,2.0,4.0,8.0,100.0,,1.0,4.0,1.0,2.0,,36.0,0
1.0,63.0,,1.0,,,,1.0,1.0,2.0,,2.0,167.0,40.0,1
1.0,,119.0,2.0,4.0,,,1.0,1.0,,,2.0,1.0,231.0,1
,192.0,,2.0,3.0,5.0,4.0,0.0,0.0,,1.0,2.0,141.0,210.0,0
1.0,,66.0,2.0,6.0,4.0,104.0,1.0,0.0,1.0,,,157.0,1.0,0
1.0,137.0,196.0,,8.0,8.0,91.0,1.0,,12.0,0.0,2.0,1.0,191.0,1
0.0,274.0,73.0,2.0,8.0,4.0,55.0,,,,,2.0,129.0,208.0,1
,342.0,,2.0,10.0,9.0,121.0,1.0,1.0,2.0,,2.0,,1.0,1
1.0,66.0,61.0,2.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,,53.0,,0
1.0,,100.0,1.0,9.0,4.0,52.0,1.0,1.0,2.0,1.0,,,94.0,1
0.0,29.0,151.0,2.0,2.0,4.0,11.0,0.0,0.0,1.0,0.0,2.0,24.0,,0
0.0,31.0,127.0,,,4.0,62.0,1.0,1.0,6.0,,,65.0,,1
1.0,75.0,7.0,,7.0,4.0,3.0,,0.0,1.0,0.0,1.0,,,0
,44.0,,,9.0,4.0,42.0,1.0,0.0,,0.0,1.0,38.0,,1
,264.0,,2.0,7.0,4.0,43.0,1.0,,,,2.0,,,1
1.0,123.0,,,11.0,8.0,,,1.0,,,2.0,119.0,2.0,0
0.0,,26.0,2.0,11.0,8.0,63.0,,1.0,2.0,0.0,2.0,,145.0,1
,,18.0,,,,,0.0,1.0,,1.0,2.0,24.0,6.0,0
0.0,67.0,40.0,1.0,,,71.0,0.0,,1.0,0.0,2.0,98.0,1.0,0
,6.0,,,,,,0.0,1.0,3.0,1.0,2.0,107.0,,0
1.0,244.0,17.0,1.0,7.0,,,0.0,0.0,1.0,1.0,,42.0,1.0,0
0.0,82.0,139.0,2.0,11.0,,110.0,,1.0,6.0,1.0,2.0,38.0,,1
1.0,23.0,109.0,2.0,4.0,4.0,,,,1.0,0.0,,,1.0,1
0.0,282.0,132.0,2.0,8.0,4.0,,1.0,1.0,7.0,1.0,,1.0,164.0,1
1.0,188.0,95.0,,6.0,,26.0,1.0,0.0,1.0,,2.0,86.0,1.0,0
1.0,,,2.0,2.0,5.0,126.0,1.0,1.0,18.0,,2.0,1.0,1.0,1
0.0,171.0,45.0,2.0,,4.0,28.0,1.0,1.0,17.0,0.0,,38.0,,1
1.0,145.0,56.0,1.0,14.0,,2.0,0.0,0.0,1.0,,2.0,40.0,2.0,0
1.0,,,2.0,,,58.0,,,1.0,1.0,2.0,84.0,77.0,0
,162.0,197.0,2.0,8.0,4.0,14.0,,0.0,1.0,,,,1.0,0
1.0,,,2.0,8.0,5.0,58.0,1.0,1.0,7.0,,,1.0,104.0,1
0.0,99.0,,2.0,,8.0,,1.0,0.0,,1.0,2.0,117.0,2.0,0
1.0,154.0,69.0,1.0,7.0,4.0,4.0,0.0,0.0,1.0,,,24.0,1.0,0
1.0,130.0,103.0,1.0,,,37.0,1.0,1.0,9.0,1.0,2.0,47.0,8.0,1
1.0,266.0,,2.0,7.0,,116.0,,0.0,1.0,0.0,,131.0,1.0,0
0.0,72.0,123.0,,,4.0,5.0,0.0,0.0,1.0,0.0,,53.0,,0
1.0,,40.0,1.0,8.0,,34.0,1.0,1.0,,1.0,2.0,45.0,,0
1.0,,,2.0,14.0,5.0,3.0,,,1.0,1.0,2.0,156.0,1.0,0
1.0,58.0,,,8.0,4.0,7.0,1.0,0.0,,,2.0,,1.0,0
0.0,,141.0,,8.0,4.0,,1.0,1.0,5.0,1.0,,24.0,115.0,1
0.0,,,2.0,1.0,,1.0,0.0,,2.0,,2.0,,,0
1.0,,156.0,2.0,8.0,8.0,28.0,,,1.0,0.0,,107.0,14.0,0
,157.0,1.0,,9.0,4.0,,,,2.0,,2.0,,1.0,1
0.0,,,2.0,11.0,4.0,,1.0,1.0,,0.0,2.0,77.0,,1
,241.0,,1.0,11.0,,108.0,1.0,1.0,15.0,0.0,2.0,1.0,,1
1.0,235.0,,2.0,8.0,,,1.0,,17.0,,,37.0,,1
1.0,,17.0,2.0,8.0,4.0,,1.0,,12.0,0.0,2.0,10.0,,1
,296.0,181.0,,6.0,,,,1.0,4.0,1.0,2.0,,1.0,1
1.0,,144.0,2.0,,,,1.0,0.0,,,2.0,38.0,189.0,1
,110.0,,2.0,,,4.0,0.0,0.0,1.0,,2.0,32.0,,0
1.0,,10.0,2.0,,5.0,76.0,,0.0,,1.0,,136.0,,0
0.0,112.0,69.0,1.0,8.0,,3.0,0.0,,1.0,0.0,1.0,24.0,,0
1.0,313.0,143.0,2.0,1.0,1.0,125.0,,,,1.0,2.0,9.0,94.0,1
0.0,,12.0,2.0,3.0,5.0,26.0,,0.0,1.0,,2.0,,,0
1.0,118.0,,2.0,8.0,8.0,78.0,1.0,,,1.0,2.0,,,1
0.0,153.0,119.0,,8.0,,76.0,1.0,,,1.0,2.0,1.0,201.0,1
,185.0,59.0,,8.0,4.0,,,0.0,1.0,0.0,,38.0,1.0,0
0.0,247.0,33.0,2.0,3.0,5.0,,,,1.0,,,1.0,94.0,1
1.0,54.0,30.0,1.0,8.0,8.0,,0.0,0.0,1.0,,,98.0,78.0,0
0.0,,26.0,2.0,4.0,5.0,26.0,1.0,,4.0,1.0,2.0,,1.0,0
1.0,,10.0,1.0,8.0,8.0,7.0,0.0,0.0,1.0,0.0,2.0,98.0,,0
0.0,330.0,,2.0,11.0,8.0,66.0,1.0,1.0,7.0,0.0,2.0,,120.0,1
,244.0,,1.0,14.0,8.0,,1.0,,,1.0,2.0,,1.0,0
1.0,,3.0,,7.0,5.0,2.0,1.0,1.0,,,2.0,,180.0,1
,,130.0,2.0,,,127.0,1.0,1.0,13.0,0.0,2.0,1.0,,1
1.0,242.0,,2.0,8.0,4.0,,,1.0,8.0,0.0,2.0,1.0,201.0,1
,251.0,,2.0,14.0,,,1.0,0.0,1.0,,,153.0,,1
1.0,,66.0,2.0,4.0,4.0,81.0,1.0,1.0,8.0,0.0,2.0,49.0,,1
0.0,308.0,196.0,,,4.0,93.0,1.0,1.0,15.0,0.0,2.0,1.0,188.0,1
,,,,7.0,,47.0,0.0,1.0,,1.0,,146.0,43.0,0
1.0,74.0,73.0,2.0,,4.0,32.0,1.0,,2.0,0.0,2.0,,,1
0.0,,82.0,2.0,2.0,4.0,,1.0,0.0,1.0,1.0,,,1.0,0
0.0,69.0,167.0,1.0,14.0,8.0,,1.0,1.0,5.0,,2.0,1.0,97.0,1
1.0,,,,,5.0,,,,2.0,0.0,,1.0,115.0,1
,36.0,,2.0,,,,0.0,,,1.0,2.0,,8.0,0
0.0,182.0,,1.0,6.0,4.0,47.0,0.0,0.0,1.0,0.0,2.0,,1.0,0
0.0,160.0,85.0,,,8.0,17.0,,1.0,,,,64.0,1.0,1
,189.0,66.0,,8.0,,26.0,0.0,0.0,1.0,,2.0,146.0,17.0,0
,,33.0,,11.0,4.0,4.0,0.0,,,1.0,2.0,93.0,1.0,0
1.0,13.0,10.0,2.0,,,9.0,0.0,,5.0,,2.0,53.0,9.0,0
1.0,190.0,,2.0,,4.0,81.0,1.0,1.0,,,2.0,1.0,,1
,,,1.0,11.0,4.0,37.0,1.0,1.0,,1.0,2.0,,109.0,1
1.0,40.0,13.0,,11.0,4.0,47.0,1.0,,3.0,1.0,,24.0,,1
1.0,,,,1.0,1.0,1.0,,0.0,1.0,1.0,2.0,1.0,,0
1.0,56.0,,2.0,,4.0,65.0,1.0,0.0,1.0,,2.0,1.0,1.0,1
1.0,124.0,190.0,2.0,9.0,4.0,,1.0,0.0,,,,150.0,115.0,1
1.0,40.0,151.0,,4.0,8.0,23.0,1.0,0.0,,1.0,2.0,,,0
1.0,,88.0,1.0,,,110.0,1.0,1.0,8.0,,,68.0,1.0,1
1.0,299.0,,,,5.0,1.0,,1.0,12.0,,2.0,,163.0,1
,11.0,5.0,2.0,,,5.0,,0.0,1.0,0.0,2.0,43.0,1.0,0
1.0,,66.0,,,8.0,115.0,0.0,0.0,1.0,1.0,1.0,,,0
1.0,177.0,66.0,,13.0,8.0,63.0,,,7.0,,2.0,53.0,183.0,1
1.0,83.0,16.0,1.0,9.0,4.0,61.0,1.0,,7.0,,,,100.0,0
0.0,204.0,31.0,2.0,6.0,4.0,20.0,1.0,1.0,5.0,0.0,,1.0,,1
,,,,,4.0,7.0,1.0,1.0,4.0,0.0,2.0,92.0,234.0,1
1.0,199.0,,2.0,,4.0,,,0.0,1.0,,2.0,73.0,1.0,0
,97.0,82.0,,13.0,4.0,,,1.0,8.0,0.0,2.0,1.0,223.0,1
1.0,114.0,,1.0,8.0,,26.0,1.0,,,1.0,2.0,,218.0,1
1.0,2.0,123.0,2.0,10.0,4.0,26.0,0.0,,1.0,,,,1.0,0
1.0,64.0,131.0,1.0,,,,0.0,0.0,,1.0,,65.0,,0
,249.0,47.0,2.0,3.0,5.0,,,,1.0,0.0,2.0,76.0,,1
0.0,,,,14.0,4.0,123.0,1.0,,3.0,1.0,,155.0,,1
,95.0,,2.0,,,73.0,1.0,1.0,7.0,0.0,2.0,,,1
1.0,118.0,46.0,1.0,9.0,4.0,10.0,1.0,0.0,1.0,,2.0,92.0,154.0,1
,81.0,,2.0,,4.0,14.0,0.0,,,1.0,,,1.0,0
1.0,191.0,73.0,2.0,13.0,8.0,103.0,1.0,0.0,,1.0,2.0,1.0,1.0,1
1.0,,46.0,,3.0,5.0,,0.0,0.0,1.0,0.0,1.0,,1.0,0
0.0,,25.0,2.0,,4.0,7.0,0.0,1.0,2.0,,2.0,86.0,5.0,0
0.0,,,2.0,14.0,8.0,24.0,1.0,0.0,1.0,0.0,,,1.0,1
1.0,,1.0,2.0,,4.0,1.0,0.0,0.0,1.0,0.0,3.0,65.0,,1
1.0,18.0,151.0,2.0,9.0,8.0,5.0,0.0,,2.0,,,38.0,2.0,0
0.0,98.0,187.0,,1.0,,47.0,0.0,,2.0,1.0,2.0,69.0,2.0,0
1.0,,70.0,2.0,8.0,4.0,52.0,1.0,1.0,,0.0,,65.0,,1
,,169.0,2.0,9.0,8.0,,1.0,1.0,12.0,1.0,2.0,100.0,,1
1.0,,13.0,1.0,8.0,,10.0,,,9.0,,,,,1
1.0,13.0,79.0,,3.0,,9.0,,0.0,1.0,1.0,2.0,45.0,,0
1.0,267.0,17.0,2.0,3.0,8.0,85.0,,0.0,1.0,1.0,,,1.0,1
1.0,221.0,154.0,2.0,14.0,4.0,,1.0,1.0,7.0,0.0,2.0,,76.0,1
1.0,258.0,89.0,2.0,,4.0,,,,,0.0,2.0,34.0,,0
,23.0,,1.0,7.0,,2.0,,0.0,1.0,,,45.0,1.0,0
1.0,,186.0,1.0,6.0,4.0,2.0,0.0,,1.0,1.0,,,113.0,0
0.0,216.0,66.0,2.0,,8.0,,,,,0.0,2.0,92.0,,0
,129.0,,,11.0,4.0,16.0,1.0,1.0,5.0,,,24.0,1.0,1
,,59.0,1.0,,,1.0,,0.0,1.0,0.0,2.0,38.0,1.0,0
0.0,129.0,20.0,2.0,6.0,4.0,2.0,0.0,0.0,1.0,,2.0,,,0
1.0,,,,,4.0,,1.0,0.0,,1.0,2.0,85.0,77.0,1
1.0,84.0,14.0,1.0,8.0,4.0,2.0,0.0,1.0,3.0,0.0,,40.0,7.0,0
,179.0,66.0,,9.0,,,0.0,0.0,1.0,1.0,2.0,,1.0,0
0.0,33.0,139.0,2.0,6.0,4.0,,,,3.0,0.0,,,,1
0.0,340.0,192.0,,,1.0,1.0,1.0,,,,2.0,1.0,171.0,1
1.0,47.0,123.0,2.0,,,40.0,,1.0,4.0,0.0,2.0,69.0,,1
0.0,,11.0,2.0,7.0,8.0,,,1.0,,1.0,2.0,,,0
0.0,35.0,137.0,2.0,13.0,8.0,20.0,1.0,1.0,8.0,0.0,,30.0,1.0,1
1.0,331.0,70.0,2.0,,4.0,43.0,1.0,1.0,6.0,1.0,2.0,18.0,,1
,,,2.0,6.0,4.0,35.0,1.0,1.0,,0.0,,24.0,,1
1.0,277.0,113.0,,,,93.0,0.0,0.0,1.0,,,147.0,66.0,0
0.0,32.0,144.0,2.0,,4.0,,1.0,,,1.0,2.0,11.0,125.0,1
1.0,65.0,28.0,2.0,8.0,,51.0,,0.0,,1.0,2.0,40.0,1.0,1
0.0,25.0,151.0,,9.0,4.0,26.0,0.0,1.0,2.0,0.0,,38.0,,0
1.0,,209.0,3.0,1.0,7.0,1.0,,,,1.0,,143.0,,1
1.0,165.0,,2.0,,4.0,33.0,1.0,,9.0,1.0,2.0,103.0,203.0,1
0.0,180.0,97.0,2.0,11.0,8.0,,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1
1.0,269.0,136.0,,13.0,8.0,124.0,,1.0,2.0,,2.0,26.0,180.0,1
1.0,35.0,87.0,1.0,3.0,4.0,26.0,,,1.0,1.0,,117.0,150.0,0
,,73.0,2.0,2.0,4.0,5.0,,,,1.0,2.0,38.0,1.0,0
1.0,,141.0,2.0,8.0,4.0,41.0,1.0,,4.0,1.0,2.0,11.0,,1
,272.0,160.0,2.0,11.0,,,1.0,,,1.0,,1.0,,1
0.0,187.0,48.0,1.0,1.0,1.0,1.0,1.0,,,0.0,2.0,107.0,1.0,0
1.0,159.0,75.0,2.0,8.0,4.0,58.0,0.0,1.0,3.0,1.0,,53.0,,0
1.0,163.0,102.0,1.0,6.0,4.0,110.0,,,1.0,0.0,2.0,1.0,1.0,0
,70.0,136.0,2.0,11.0,4.0,,,1.0,11.0,0.0,2.0,,149.0,0
,62.0,164.0,2.0,14.0,4.0,,,1.0,7.0,0.0,2.0,39.0,,1
1.0,294.0,204.0,2.0,1.0,1.0,1.0,,1.0,2.0,0.0,2.0,,1.0,0
0.0,49.0,73.0,2.0,,4.0,5.0,,,,0.0,2.0,32.0,,1
,4.0,130.0,2.0,,4.0,,0.0,1.0,,,,,,0
,50.0,158.0,2.0,,8.0,9.0,1.0,1.0,2.0,1.0,2.0,24.0,,1
,43.0,5.0,2.0,,4.0,26.0,0.0,1.0,2.0,0.0,2.0,86.0,136.0,1
1.0,236.0,102.0,,,1.0,1.0,,1.0,,0.0,2.0,2.0,2.0,0
1.0,62.0,47.0,2.0,4.0,4.0,,0.0,0.0,,1.0,2.0,116.0,1.0,0
0.0,86.0,17.0,2.0,11.0,8.0,31.0,1.0,1.0,2.0,0.0,2.0,1.0,128.0,1
1.0,78.0,166.0,,,8.0,13.0,1.0,,,0.0,2.0,32.0,1.0,1
1.0,22.0,6.0,2.0,11.0,,,0.0,0.0,1.0,0.0,2.0,69.0,32.0,1
0.0,24.0,,1.0,11.0,8.0,5.0,,0.0,1.0,,,,,0
1.0,,73.0,1.0,2.0,4.0,28.0,1.0,1.0,,1.0,,,2.0,1
1.0,194.0,1.0,,8.0,,1.0,,,1.0,,,65.0,,0
0.0,,,2.0,10.0,4.0,,1.0,,1.0,,2.0,1.0,,1
,252.0,15.0,2.0,,8.0,6.0,1.0,,7.0,,2.0,77.0,147.0,1
,8.0,2.0,2.0,,4.0,2.0,0.0,0.0,1.0,0.0,,1.0,1.0,1
,176.0,63.0,2.0,2.0,,,0.0,0.0,1.0,,2.0,101.0,1.0,0
1.0,184.0,70.0,,7.0,,,1.0,1.0,7.0,,2.0,,1.0,1
1.0,,169.0,2.0,3.0,,14.0,1.0,,1.0,1.0,2.0,32.0,,0
1.0,63.0,17.0,,8.0,,4.0,0.0,0.0,1.0,,2.0,117.0,1.0,0
,295.0,188.0,2.0,4.0,,,,,1.0,,2.0,1.0,1.0,1
1.0,222.0,154.0,1.0,4.0,4.0,,0.0,,1.0,0.0,2.0,,1.0,0
0.0,12.0,,,3.0,4.0,,0.0,,7.0,1.0,2.0,86.0,30.0,0
1.0,68.0,164.0,2.0,,4.0,47.0,1.0,1.0,,0.0,,24.0,90.0,1
1.0,163.0,87.0,2.0,14.0,,85.0,,1.0,4.0,,2.0,100.0,190.0,1
,117.0,,2.0,11.0,8.0,,1.0,1.0,3.0,0.0,2.0,,213.0,1
,124.0,26.0,,,8.0,5.0,0.0,0.0,,,2.0,77.0,88.0,0
1.0,143.0,44.0,,9.0,8.0,20.0,1.0,,2.0,0.0,,86.0,,1
1.0,,208.0,2.0,10.0,,131.0,1.0,1.0,,0.0,2.0,1.0,158.0,1
,246.0,88.0,,13.0,,,,1.0,,0.0,2.0,107.0,1.0,1
,35.0,,1.0,6.0,,16.0,1.0,0.0,1.0,,,,,0
0.0,154.0,161.0,2.0,11.0,8.0,,,1.0,,1.0,2.0,41.0,4.0,0
0.0,,22.0,2.0,9.0,4.0,41.0,,0.0,1.0,0.0,2.0,77.0,6.0,0
0.0,,,1.0,8.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,49.0,2.0,0
