@relation nomao

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 {1,2}
@attribute V8 {1,2}
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 {1,2,3}
@attribute V16 {1,2,3}
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 {1,2,3}
@attribute V24 {1,2,3}
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 {1,2,3}
@attribute V32 {1,2,3}
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 {1,2,3}
@attribute V40 {1,2,3}
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 {1,2,3}
@attribute V48 {1,2,3}
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 {1,2,3}
@attribute V56 {1,2,3}
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 {1,2,3}
@attribute V64 {1,2,3}
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 {1,2,3}
@attribute V72 {1,2,3}
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 {1,2,3}
@attribute V80 {1,2,3}
@attribute V81 numeric
@attribute V82 numeric
@attribute V83 numeric
@attribute V84 numeric
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 {1,2,3}
@attribute V88 {1,2,3}
@attribute V89 numeric
@attribute V90 numeric
@attribute V91 numeric
@attribute V92 {1,2,3}
@attribute V93 numeric
@attribute V94 numeric
@attribute V95 numeric
@attribute V96 {1,2,3}
@attribute V97 numeric
@attribute V98 numeric
@attribute V99 numeric
@attribute V100 {1,2,3}
@attribute V101 numeric
@attribute V102 numeric
@attribute V103 numeric
@attribute V104 {1,2,3}
@attribute V105 numeric
@attribute V106 numeric
@attribute V107 numeric
@attribute V108 {1,2,3}
@attribute V109 numeric
@attribute V110 numeric
@attribute V111 numeric
@attribute V112 {1,2,3}
@attribute V113 numeric
@attribute V114 numeric
@attribute V115 numeric
@attribute V116 {1,2,3}
@attribute V117 numeric
@attribute V118 numeric
@attribute Class {1,2}

@data
1,0.666667,0.8,0.8,0.65,0.65,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.714286,0.714286,0.742857,0.714286,0.588235,0.6,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0,0.363636,0.090909,2,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,1,1,1,1,3,1,1,1,3,0.999486,0.5,0.285714,2,0.999874,0.666667,0.428571,2,1,1,2
1,0.666667,0.8,0.8,0.65,0.65,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.857143,0.75,0.826667,0.8,0.825,0.775,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,1,1,1,1,3,1,1,1,3,0.999999,0.888889,0.727273,2,0.999999,0.8,0.615385,2,1,1,2
0.5,0.333333,0.4,0.4,0.3,0.185185,1,1,1,1,1,1,1,1,3,3,0,0,0.2,0,0.2,0,2,2,0.75,0.75,0.75,0.75,0.888889,0.727273,2,2,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.714286,0.714286,0.767857,0.714286,0.861111,0.717949,2,2,0.857143,0.857143,0.857143,0.857143,0.945946,0.85,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,1,0.99971,0.555556,0.25,2,0.99991,0.8,0.466667,2,0.999194,0.5,0.285714,2,0.999794,0.666667,0.428571,2,1,0.999999,2
1,1,1,1,1,1,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.857143,0.75,0.923333,0.87619,0.9,0.853659,2,2,0.857143,0.857143,0.857143,0.857143,0.945946,0.85,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,1,1,1,3,0.99971,0.555556,0.25,2,0.99991,0.8,0.466667,2,0.996132,0.666667,0.266667,2,0.998817,0.5,0.3125,2,1,0.999984,2
0,0,0.074074,0,0.083333,0,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.5,0.5,0.775,0.527778,0.842105,0.5,2,2,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.75,0.75,0.8875,0.763889,0.938776,0.767857,2,2,0.875,0.875,0.9375,0.875,0.979167,0.901961,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,0.032258,0.75,0.285714,2,0.997028,0.555556,0.285714,2,0.997505,0.7,0.3125,2,0.997423,0.625,0.307692,2,0.997317,0.666667,0.333333,2,0.999985,0.999986,2
1,1,1,1,1,1,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.8,0.571429,0.736111,0.7,0.675676,0.641026,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1,0.979322,2
1,1,1,1,1,1,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,1,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,1,1,1,3,1,1,1,3,0.98567,0.375,0.2,2,0.996347,0.555556,0.333333,2,1,0.999775,2
0,0,0.145833,0.025641,0.157895,0.035714,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.999999,0.875,0.636364,2,1,1,1,3,1,1,2
0,0,0.375,0.242424,0.5,0.25,1,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.714286,0.892308,0.820513,0.764706,0.657895,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.999935,0.625,0.384615,2,0.999982,0.777778,0.538462,2,1,1,2
0,0,0.321429,0.069388,0.157895,0.068966,1,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.714286,0.892308,0.820513,0.764706,0.657895,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.999936,0.625,0.384615,2,0.999982,0.777778,0.538462,2,1,1,2
1,0.8,0.888889,0.888889,0.75,0.756757,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.857143,0.857143,0.904762,0.892857,0.904762,0.863636,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.99994,0.875,0.5,2,0.999976,0.666667,0.428571,2,1,1,2
0.5,0.2,0.31746,0.285714,0.138889,0.152174,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,1,0.888889,0.727273,2,1,0.8,0.615385,2,1,1,2
0.5,0.25,0.37037,0.333333,0.148148,0.189189,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.857143,0.857143,0.904762,0.892857,0.904762,0.863636,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.99994,0.777778,0.461538,2,0.999976,0.6,0.4,2,1,1,2
0,0,0.228571,0,0.277778,0,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1,0.979322,2
1,0.625,0.769231,0.769231,0.666667,0.695652,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.833333,0.833333,0.966667,0.888889,0.972222,0.846154,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,0.99998,0.714286,0.454545,2,0.999996,0.888889,0.727273,2,1,1,2
1,1,1,1,1,1,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.75,0.75,0.75,0.75,0.594595,0.622222,2,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,0.999999,0.888889,0.666667,2,1,1,2
1,0.666667,0.8,0.8,0.585366,0.595238,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,1,1,1,1,1,1,3,3,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,0.75,0.333333,0.672078,0.575641,0.545455,0.566038,2,2,1,1,1,1,1,1,3,3,0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,1,1,1,1,1,1,1,3,3,1,1,1,3,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,1,1,1,3,1,1,1,3,1,0.777778,0.583333,2,1,0.9,0.75,2,1,1,2
1,1,1,1,1,1,2,2,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,1,0.4,0.571429,0.571429,0.592593,0.62963,3,2,1,1,1,1,1,1,3,3,0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,1,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,1,1,1,3,1,1,1,3,0.975647,0.461538,0.15,2,0.964041,0.384615,0.142857,2,1,0.99799,2
1,0.6,0.75,0.75,0.583333,0.6,2,1,0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,1,0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,1,0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,1,0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,1,1,0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,1,1,1,1,1,1,1,1,3,3,1,0.4,0.571429,0.571429,0.470588,0.485714,3,2,1,1,1,1,1,1,3,3,0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,1,1,1,1,1,1,1,3,3,0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,1,0.791184,0.888243,0.829007,2,1,1,1,3,1,1,1,3,0.998246,0.333333,0.2,2,0.997778,0.307692,0.136364,2,1,0.999992,2
